date,pm25,pm10,so2,no2,co,o3,temp,press,humd,ws,wd,rain1h
2020/1/1 0:00,142,164,32,62,2.8,17,0.8,946,91,0.1,0,0
2020/1/1 1:00,154,168,33,71,3.6,9,0.7,946,92,0.1,0,0
2020/1/1 2:00,162,180,32,74,3.9,7,0.7,946,92,0.4,28,0
2020/1/1 3:00,165,178,31,72,3.7,6,0.7,946,93,0.9,8,0
2020/1/1 4:00,156,172,29,68,3.4,6,0.7,946,93,0.2,0,0
2020/1/1 5:00,151,173,25,56,3,15,0.7,946,93,0.1,0,0
2020/1/1 6:00,147,159,23,53,3.4,16,0.7,946,93,0.6,43,0
2020/1/1 7:00,120,144,22,47,2.9,21,0.7,946,91,1.6,126,0
2020/1/1 8:00,126,157,23,47,3,20,0.5,946,91,0.5,227,0
2020/1/1 9:00,137,167,22,48,2.7,16,0.4,947,92,0.9,44,0
2020/1/1 10:00,161,179,28,61,3.5,10,0.3,947,93,0.3,139,0
2020/1/1 11:00,160,188,30,57,3.3,14,0.4,947,93,0.8,66,0
2020/1/1 12:00,164,190,33,63,3.9,15,0.8,948,93,1,134,0
2020/1/1 13:00,171,197,31,61,4,19,1.2,948,91,0.3,104,0
2020/1/1 14:00,175,200,25,53,3.4,21,2,948,86,0.6,64,0
2020/1/1 15:00,180,213,24,52,3,24,2.1,947,82,1,59,0
2020/1/1 16:00,164,203,23,47,2.6,39,2.4,947,82,0.7,122,0
2020/1/1 17:00,156,185,21,41,2.4,42,2.7,946,79,1.7,93,0
2020/1/1 18:00,149,158,21,43,2.5,41,2.1,946,82,0.7,18,0
2020/1/1 19:00,144,167,18,60,2.6,25,0.5,947,88,0.4,301,0
2020/1/1 20:00,145,165,15,72,2.8,9,-1,947,93,0.9,324,0
2020/1/1 21:00,139,166,15,77,3,6,-2,947,94,0.7,50,0
2020/1/1 22:00,143,182,15,80,4.3,8,-2.8,947,95,0.4,20,0
2020/1/1 23:00,165,205,16,79,4.8,8,-4.4,947,96,1.4,14,0
2020/1/2 0:00,171,229,16,78,4.7,7,-4.4,947,96,0.3,24,0
2020/1/2 1:00,181,229,15,75,5.1,7,-4.4,947,96,1,288,0
2020/1/2 2:00,179,190,16,66,3.7,7,-5.5,947,94,0.4,148,0
2020/1/2 3:00,142,155,10,65,4.4,6,-4.3,947,98,0.3,315,0
2020/1/2 4:00,127,152,12,64,3.2,6,-5.9,947,96,1,55,0
2020/1/2 5:00,121,142,12,63,3.2,7,-5.9,946,97,1.3,45,0
2020/1/2 6:00,113,134,9,64,3.6,5,-5.4,946,97,1.4,61,0
2020/1/2 7:00,112,134,24,63,2.9,5,-5.4,946,97,0.3,41,0
2020/1/2 8:00,112,136,20,61,2.6,6,-5.7,946,96,1.5,34,0
2020/1/2 9:00,102,133,23,60,2.7,7,-5.9,946,96,0.9,91,0
